Country/Region,Province,Date,Type,Reference
Colombia,,3/25/20,Full,https://www.theguardian.com/world/2020/mar/23/colombian-groups-exploiting-coronavirus-lockdown-to-kill-activists
Congo (Brazzaville),,,None,
Congo (Kinshasa),,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Democratic_Republic_of_the_Congo
Costa Rica,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Costa_Rica
Cote dIvoire,,3/29/20,Full,
Croatia,,3/22/20,Partial,https://www.wfmz.com/news/croatia-quake-injures-amid-partial-coronavirus-lockdown/image_45bd4c4f-1ed0-5361-b5ca-d9d228fc5e5f.html
Cuba,,,None,
Cyprus,,3/25/20,Full,https://www.reuters.com/article/us-health-coronavirus-cyprus-lockdown/cyprus-announces-lockdown-on-coronavirus-until-april-13-idUSKBN21A3C8
Czechia,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Czech_Republic
Denmark,Faroe Islands,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Faroe_Islands
Denmark,,3/11/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#many-countries-have-also-closed-borders-to-prevent-international-travelers-from-spreading-the-virus-29
Diamond Princess,,,None,
Djibouti,,,None,
Dominica,,,None,
Dominican Republic,,3/17/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Dominican_Republic
Ecuador,,3/24/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ecuador
Egypt,,3/24/20,Full,https://www.thenational.ae/world/mena/curfew-crash-kills-18-as-egypt-enters-lockdown-1.997575
El Salvador,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_El_Salvador
Equatorial Guinea,,,None,
Eritrea,,,None,
Estonia,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia
Eswatini,,,None,
Ethiopia,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ethiopia
Fiji,,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Fiji
Finland,,3/27/20,Full,http://global.chinadaily.com.cn/a/202003/27/WS5e7ce399a310128217282530.html
France,French Guiana,,None,
France,French Polynesia,3/27/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_French_Polynesia
France,Guadeloupe,,None,
France,Martinique,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Martinique
France,Mayotte,,None,
France,New Caledonia,,None,
France,Reunion,,None,
France,Saint Barthelemy,,None,
France,St Martin,,None,
France,,3/16/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#spain-became-the-second-european-country-to-impose-a-nationwide-quarantine-on-march-14-on-thursday-the-lockdown-was-extended-to-at-least-april-12-21
Gabon,,,None,
Gambia,,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia
Georgia,,3/22/20,Partial,https://www.garda.com/crisis24/news-alerts/325581/georgia-government-places-two-cities-on-lockdown-march-22-update-6
Germany,,3/20/20,Full,https://www.politico.eu/article/german-state-of-bavaria-heads-for-full-coronavirus-lockdown/
Ghana,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ghana
Greece,,3/18/20,Full,https://www.tornosnews.gr/en/greek-news/society/39369-greece-in-total-lockdown-from-wednesday-due-to-coronavirus-outbreak.html
Greenland,,,None,
Grenada,,,None,
Guatemala,,,None,
Guinea,,,None,
Guinea-Bissau,,,None,
Guyana,,,None,
Haiti,,,None,
Honduras,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Honduras
Hungary,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hungary
Iceland,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
India,,3/24/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Indonesia,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Iran,,3/15/20,Full,https://www.dailymail.co.uk/news/article-8109981/Iran-imposes-nationwide-lockdown-24-hours-citizen-checked-coronavirus.html
Iraq,,3/22/20,Full,https://www.middleeasteye.net/news/coronavirus-iraq-impose-total-lockdown-until-28-march
Ireland,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland
Israel,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel
Italy,,3/11/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Jamaica,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jamaica
Japan,,2/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan
Jersey,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey
Jordan,,3/21/20,Full,https://www.nytimes.com/aponline/2020/03/21/world/middleeast/ap-ml-virus-outbreak-mideast.html
Kazakhstan,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan
Kenya,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kenya
"Korea, South",,2/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Korea
Kosovo,,3/25/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo
Kuwait,,3/16/20,Partial,https://www.cosmopolitanme.com/travel/kuwait-shutdown-due-to-coronavirus
Kyrgyzstan,,3/24/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kyrgyzstan
Laos,,,None,
Latvia,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia
Lebanon,,3/16/20,Full,https://www.haaretz.com/middle-east-news/lebanon-goes-on-virus-lockdown-as-iraqis-go-panic-shopping-ahead-of-curfew-1.8679069
Liberia,,,None,
Libya,,,None,
Liechtenstein,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Liechtenstein
Lithuania,,3/16/20,Full,https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/
Luxembourg,,3/16/20,Full,https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown
Madagascar,,3/17/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Madagascar
Malaysia,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia
Maldives,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives
Mali,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali
Malta,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta
Mauritania,,,None,
Mauritius,,3/17/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mauritius
Mexico,,3/14/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico
Moldova,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Moldova
Monaco,,3/17/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
Mongolia,,3/10/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mongolia
Montenegro,,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montenegro
Morocco,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco
Mozambique,,,None,
MS Zaandam,,,None,
Namibia,,3/14/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Namibia
Nepal,,3/24/20,Full,https://edition.cnn.com/travel/article/nepal-trekkers-stranded-coronavirus-scli-intl/index.html
Netherlands,Aruba,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba
Netherlands,,3/24/20,Full,https://www.ukrant.nl/why-the-netherlands-is-not-on-lockdown-yet/?lang=en
Netherlands,Curacao,,None,
Netherlands,Sint Maarten,,None,
New Zealand,,3/25/20,Full,https://www.bbc.co.uk/news/av/world-52001578/coronavirus-new-zealand-announces-lockdown
Nicaragua,,,None,
Niger,,,None,
Nigeria,,3/25/20,Full,https://uk.reuters.com/article/uk-health-coronavirus-nigeria-security/nigerian-army-prepares-for-coronavirus-lockdown-mass-burials-idUKKBN21C2BL
North Macedonia,,3/18/20,Full,https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/
Norway,,3/12/20,Full,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
Oman,,3/29/20,Partial,https://www.omanobserver.om/oman-to-suspend-all-domestic-and-international-flights-from-sunday612586-2/
Pakistan,,3/26/20,Full,https://sourcingjournal.com/topics/sourcing/pakistan-coronavirus-lockdown-garment-factories-closed-synergies-worldwide-levis-202444/
Palestine,,3/5/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine
Panama,,3/25/20,Full,https://news.yahoo.com/panama-orders-lockdown-paraguay-closes-borders-072748034.html
Papua New Guinea,,,None,
Paraguay,,3/15/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Paraguay
Peru,,3/10/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru
Philippines,,3/16/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines
Poland,,3/12/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
Portugal,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Portugal
Qatar,,3/11/20,Full,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison
Romania,,3/25/20,Full,https://www.garda.com/crisis24/news-alerts/326626/romania-government-announces-lockdown-measures-on-march-25-update-2
Russia,,3/27/20,Full,https://www.independent.co.uk/news/world/europe/coronavirus-russia-lockdown-putin-cases-latest-a9429601.html
Rwanda,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rwanda
Saint Kitts and Nevis,,,None,
Saint Lucia,,3/20/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saint_Lucia
Saint Vincent and the Grenadines,,,None,
San Marino,,3/9/20,Full,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown
Saudi Arabia,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saudi_Arabia
Senegal,,3/24/20,Partial,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Serbia,,3/15/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Seychelles,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Seychelles
Sierra Leone,,,None,
Singapore,,3/26/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore
Slovakia,,3/9/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia
Slovenia,,3/11/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia
Somalia,,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia
South Africa,,3/26/20,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Spain,,3/14/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Sri Lanka,,3/21/20,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Sudan,,,None,
Suriname,,,None,
Sweden,,,None,
Switzerland,,3/18/20,Full,https://www.cnnmoney.ch/shows/big-picture/videos/switzerland-desperate-race-stay-ahead-coronavirus
Syria,,3/14/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Syria
Taiwan*,,2/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan
Tanzania,,,None,
Thailand,,3/22/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Thailand
Timor-Leste,,,None,
Togo,,3/20/20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Togo
Trinidad and Tobago,,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago
Tunisia,,3/20/20,Full,https://www.france24.com/en/20200320-tunisia-orders-general-lockdown-in-bid-to-contain-coronavirus
Turkey,,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey
Uganda,,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uganda
Ukraine,,3/17/20,Full,https://www.ukrinform.net/rubric-society/2899162-ten-facts-about-coronavirus-lockdown-in-ukraine.html
United Arab Emirates,,3/24/20,Full,https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM
United Kingdom,Anguilla,3/18/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Anguilla
United Kingdom,Bermuda,,None,
United Kingdom,British Virgin Islands,,None,
United Kingdom,Cayman Islands,,None,
United Kingdom,Channel Islands,,None,
United Kingdom,Gibraltar,3/24/20,Full,https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/
United Kingdom,Isle of Man,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Isle_of_Man
United Kingdom,Montserrat,,None,
United Kingdom,Turks and Caicos Islands,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Turks_and_Caicos_Islands
United Kingdom,,3/23/20,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Uruguay,,3/16/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uruguay
US,Alabama,4/4/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Alaska,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Arizona,3/31/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Arkansas,,None,
US,California,3/19/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Colorado,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Connecticut,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Delaware,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,District of Columbia,,None,
US,Florida,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Georgia,,None,
US,Guam,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guam
US,Hawaii,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Idaho,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Illinois,3/21/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Indiana,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Iowa,,None,
US,Kansas,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Kentucky,3/26/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Louisiana,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Maine,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Maryland,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Massachusetts,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Michigan,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Minnesota,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Mississippi,4/3/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Missouri,4/6/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Montana,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Nebraska,,None,
US,Nevada,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Hampshire,3/27/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Jersey,3/21/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Mexico,3/24/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New York,3/22/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,North Carolina,3/30/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,North Dakota,,None,
US,Ohio,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Oklahoma,,None,
US,Oregon,3/23/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Pennsylvania,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Puerto Rico,3/13/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico
US,Rhode Island,3/28/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,South Carolina,,None,
US,South Dakota,,None,
US,Tennessee,3/31/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Texas,4/2/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Utah,,None,
US,Vermont,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Virgin Islands,3/25/20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States_Virgin_Islands
